EntityID,AddressLine,Locality,AdminDistrict,PostalCode,CountryRegion,Phone,Manager,Latitude,Longitude
1336776,101 EXECUTIVE PARK BLVD,San Francisco,CA,,United States,,,0,0
1337775,400 HOWARD ST,San Francisco,CA,28855,United States,,,37.78911921,-122.395881
1331662,120 02ND ST,San Francisco,CA,28855,United States,,,37.78751406,-122.3995663
1331657,101 CALIFORNIA ST,San Francisco,CA,28860,United States,,,37.79294895,-122.3980986
1331665,90 BROADWAY,San Francisco,CA,28860,United States,,,37.79926011,-122.3996179
1334475,1 MARKET ST,San Francisco,CA,28855,United States,,,37.79387151,-122.3948652
1337607,800 MARKET ST,San Francisco,CA,28852,United States,,,37.78546975,-122.4066158
1337055,281 GEARY ST,San Francisco,CA,28852,United States,,,37.78713649,-122.4077185
1336775,601 CRESCENT AVE,San Francisco,CA,28859,United States,,,37.7350053,-122.4154174
1357615,801 MARKET ST,San Francisco,CA,28853,United States,,,37.78499028,-122.4056766
1337614,870 MARKET ST,San Francisco,CA,28852,United States,,,37.78511092,-122.4074227
1337787,1500 GENEVA AVE,San Francisco,CA,28861,United States,,,37.7123026,-122.4316442
1344846,560 MISSION ST,San Francisco,CA,28855,United States,,,37.78886472,-122.3993594
1339667,225 BUSH ST,San Francisco,CA,28854,United States,,,37.79083842,-122.4011604
1334951,1501 03RD ST,San Francisco,CA,310,United States,,,37.77089223,-122.3891692
1336774,2401 BAY SHORE BLVD,San Francisco,CA,309,United States,,,37.71093379,-122.4027845
1372486,1601 MARIPOSA ST,San Francisco,CA,,United States,,,0,0
1336777,301 EXECUTIVE PARK BLVD,San Francisco,CA,58,United States,,,37.71163228,-122.3900163
1337770,901 16TH ST,San Francisco,CA,28856,United States,,,37.76612469,-122.3954731
1336778,835 JAMESTOWN AVE,San Francisco,CA,58,United States,,,37.71717416,-122.3922225
1359707,Assessors Block /Lot,San Francisco,CA,,United States,,,0,0
1372485,100 SPEAR ST,San Francisco,CA,28855,United States,,,37.79215055,-122.394
1339842,602 MISSION ST,San Francisco,CA,28855,United States,,,37.78797328,-122.400185
1337786,353 BAY SHORE BLVD,San Francisco,CA,58,United States,,,37.74171783,-122.405418
1337620,101 STOCKTON ST,San Francisco,CA,28852,United States,,,37.78685611,-122.4068919
1389608,490 BRANNAN ST,San Francisco,CA,28856,United States,,,37.77886314,-122.3964444
1339840,217 SANSOME ST,San Francisco,CA,28854,United States,,,37.79238986,-122.4012697
1339841,400 HOWARD ST,San Francisco,CA,28855,United States,,,37.78911921,-122.395881
1339666,370 DRUMM ST,San Francisco,CA,28860,United States,,,37.79691371,-122.3966507
1351263,2501 MISSION ST,San Francisco,CA,28859,United States,,,37.75687745,-122.4185799
1344178,150 CALIFORNIA ST,San Francisco,CA,28860,United States,,,37.79367338,-122.3984635
1344173,85 02ND ST,San Francisco,CA,28855,United States,,,37.78845703,-122.3998842
1345312,532 MARKET ST,San Francisco,CA,28854,United States,,,37.79054832,-122.4003337
1337426,Assessors Block /Lot,San Francisco,CA,,United States,,,0,0
1344172,150 CALIFORNIA ST,San Francisco,CA,28860,United States,,,37.79367338,-122.3984635
